,graph,statistic,value
359,farz_0.65,\shortstack[l]{modularity \\ density},0.06140066639042111
360,farz_0.70,$|V|$,200.0
361,farz_0.70,$|E|$,903.0
362,farz_0.70,$\hat{k}$,5.0
363,farz_0.70,$\hat{o}$,32.0
364,farz_0.70,$\hat{c}$,0.3498724929814452
365,farz_0.70,\shortstack[l]{normalized \\ cut},0.5837855509389343
366,farz_0.70,\shortstack[l]{internal \\ edge \\density},0.04399792347483652
367,farz_0.70,significance,2029.2675830779453
368,farz_0.70,\shortstack[l]{avarage \\ internal \\degree},5.391100233780817
369,farz_0.70,\shortstack[l]{modularity \\ density},-0.13546303004878762
370,farz_0.75,$|V|$,200.0
371,farz_0.75,$|E|$,910.0
372,farz_0.75,$\hat{k}$,5.0
373,farz_0.75,$\hat{o}$,34.0
374,farz_0.75,$\hat{c}$,0.37398864747342125
375,farz_0.75,\shortstack[l]{normalized \\ cut},0.519563572953061
376,farz_0.75,\shortstack[l]{internal \\ edge \\density},0.032616825322095956
377,farz_0.75,significance,2241.1857160325744
378,farz_0.75,\shortstack[l]{avarage \\ internal \\degree},5.46383680246694
379,farz_0.75,\shortstack[l]{modularity \\ density},0.047466374589808485
380,farz_0.80,$|V|$,200.0
381,farz_0.80,$|E|$,904.0
382,farz_0.80,$\hat{k}$,5.0
383,farz_0.80,$\hat{o}$,31.0
384,farz_0.80,$\hat{c}$,0.3965509963090328
385,farz_0.80,\shortstack[l]{normalized \\ cut},0.4810669000725946
386,farz_0.80,\shortstack[l]{internal \\ edge \\density},0.04288022602076882
387,farz_0.80,significance,2295.174924723265
388,farz_0.80,\shortstack[l]{avarage \\ internal \\degree},5.9371771879483495
389,farz_0.80,\shortstack[l]{modularity \\ density},0.07636296830377282
390,farz_0.85,$|V|$,200.0
391,farz_0.85,$|E|$,870.0
392,farz_0.85,$\hat{k}$,5.0
393,farz_0.85,$\hat{o}$,16.0
394,farz_0.85,$\hat{c}$,0.4185254530436067
